name,memory_percent,cpu_percent,pid
jucheck.exe,0.04547620760894241,0.0,24888
WMIC.exe,0.04581540148562072,0.0,24984
SystemSettings.exe,0.012598629705194488,0.0,25000
UserOOBEBroker.exe,0.06568247140535048,0.0,25044
conhost.exe,0.0450401011960703,0.0,25048
WMIC.exe,0.04588808588776608,0.0,25172
conhost.exe,0.04496741679392494,0.0,25176
Code.exe,0.7004595834747651,0.0,25328
chrome.exe,1.7568304561212742,0.0,25360
WMIC.exe,0.09192154057982287,0.0,25568
WMIC.exe,0.10013487802224773,0.0,25676
WMIC.exe,0.1005952125691683,0.0,25924
conhost.exe,0.04494318865987649,0.0,26060
WMIC.exe,0.10212158501422071,0.0,26096
WMIC.exe,0.04598499842395988,0.0,26112
msedge.exe,0.24976783390548074,0.0,26452
WMIC.exe,0.092091137518162,0.0,26572
conhost.exe,0.045015873062021844,0.0,26600
svchost.exe,0.11430833644059152,0.0,26608
conhost.exe,0.0450401011960703,0.0,26652
conhost.exe,0.04496741679392494,0.0,26688
WMIC.exe,0.045863857753717624,0.0,26704
WMIC.exe,0.10214581314826915,0.0,26724
WMIC.exe,0.1021700412823176,0.0,26788
chrome.exe,0.2090887968381316,0.0,26832
conhost.exe,0.04496741679392494,0.0,26952
WMIC.exe,0.0917519436414837,0.0,26972
Code.exe,0.7833924863226127,0.0,27216
WMIC.exe,0.10224272568446295,0.0,27408
msedge.exe,0.28126440816846693,0.0,27468
WMIC.exe,0.10023179055844153,0.0,27628
msedge.exe,0.06003731617206142,0.0,27640
WMIC.exe,0.10018333429034462,0.0,27656
conhost.exe,0.04496741679392494,0.0,27688
cmd.exe,0.03341059685281385,0.0,27788
WMIC.exe,0.10025601869248998,0.0,27944
conhost.exe,0.045185470000361,0.0,27976
conhost.exe,0.04494318865987649,0.0,27992
WMIC.exe,0.10224272568446295,0.0,28068
msedge.exe,0.7631862225262046,0.0,28404
WMIC.exe,0.04583962961966918,0.0,28460
svchost.exe,0.10900237508398078,0.0,28548
conhost.exe,0.04499164492797339,0.0,28568
msedge.exe,0.11653732477304901,0.0,28620
WMIC.exe,0.10248500702494748,0.0,28708
WMIC.exe,0.10233963822065675,0.0,28788
conhost.exe,0.0450401011960703,0.0,28836
WMIC.exe,0.045791173351572276,0.0,28864
WMIC.exe,0.0917519436414837,0.0,28948
WMIC.exe,0.045912314021814525,0.0,29256
SearchProtocolHost.exe,0.10396292320190297,0.0,29432
conhost.exe,0.04494318865987649,0.0,29452
conhost.exe,0.045015873062021844,0.0,29560
